ds,holiday,lower_window,upper_window
2021/11/1,double_11,0,3
2021/11/11,double_11,0,3
2021,double_12,,
2022,天貓年貨節,,
2022,過年,,
2022,情人節,,
2022,三八女王節,,
2022,三八女王節,,
2022,清明節,,
2022,五一勞動,,
2022,六一八,,
2022,六一八,,
2022,重陽節,,
2022,國慶,,
2022,double_11,,
