,date,object_code,trips
165,2021-12-22,020Y,1385395
166,2021-12-23,020Y,1448712
167,2021-12-24,020Y,1428842
168,2021-12-25,020Y,1255726
169,2021-12-26,020Y,1007372
170,2021-12-27,020Y,1200159
171,2021-12-28,020Y,1319793
172,2021-12-29,020Y,1387701
173,2021-12-30,020Y,1411027
174,2021-12-31,020Y,1372172
175,2022-01-01,020Y,1045373
176,2022-01-02,020Y,856445
177,2022-01-03,020Y,905667
178,2022-01-04,020Y,1220769
179,2022-01-05,020Y,1331438
180,2022-01-06,020Y,1374217
181,2022-01-07,020Y,1372106
182,2022-01-08,020Y,1201398
183,2022-01-09,020Y,994790
184,2022-01-10,020Y,1256157
185,2022-01-11,020Y,1411579
186,2022-01-12,020Y,1527066
187,2022-01-13,020Y,1494666
188,2022-01-14,020Y,1484752
189,2022-01-15,020Y,1324730
190,2022-01-16,020Y,1163448
191,2022-01-17,020Y,1377950
192,2022-01-18,020Y,1464080
193,2022-01-19,020Y,1499373
194,2022-01-20,020Y,1488543
195,2022-01-21,020Y,1469679
196,2022-01-22,020Y,1253142
197,2022-01-23,020Y,1099880
198,2022-01-24,020Y,1317425
199,2022-01-25,020Y,1303249
200,2022-01-26,020Y,1301055
201,2022-01-27,020Y,1169810
202,2022-01-28,020Y,1033868
203,2022-01-29,020Y,836384
204,2022-01-30,020Y,623491
205,2022-01-31,020Y,403608
206,2022-02-01,020Y,212713
207,2022-02-02,020Y,172596
208,2022-02-03,020Y,143530
209,2022-02-04,020Y,178412
210,2022-02-05,020Y,229974
211,2022-02-06,020Y,282637
212,2022-02-07,020Y,422919
213,2022-02-08,020Y,650535
214,2022-02-09,020Y,755634
215,2022-02-10,020Y,944560
216,2022-02-11,020Y,1015207
217,2022-02-12,020Y,992221
218,2022-02-13,020Y,871300
219,2022-02-14,020Y,1045716
220,2022-02-15,020Y,1073310
221,2022-02-16,020Y,1085664
222,2022-02-17,020Y,1064272
223,2022-02-18,020Y,972830
224,2022-02-19,020Y,1173239
225,2022-02-20,020Y,907042
226,2022-02-21,020Y,1113554
227,2022-02-22,020Y,1169873
228,2022-02-23,020Y,1177503
229,2022-02-24,020Y,1253068
230,2022-02-25,020Y,1211951
231,2022-02-26,020Y,1068844
232,2022-02-27,020Y,925870
233,2022-02-28,020Y,1136690
234,2022-03-01,020Y,1173878
235,2022-03-02,020Y,1253155
236,2022-03-03,020Y,1264944
237,2022-03-04,020Y,1262574
238,2022-03-05,020Y,1148530
239,2022-03-06,020Y,1126567
240,2022-03-07,020Y,1443186
241,2022-03-08,020Y,1436812
242,2022-03-09,020Y,1401621
243,2022-03-10,020Y,1403999
244,2022-03-11,020Y,1365740
245,2022-03-12,020Y,1126217
246,2022-03-13,020Y,948981
247,2022-03-14,020Y,1067033
248,2022-03-15,020Y,1136327
249,2022-03-16,020Y,1165664
250,2022-03-17,020Y,1173279
251,2022-03-18,020Y,1164921
252,2022-03-19,020Y,1062525
253,2022-03-20,020Y,907743
254,2022-03-21,020Y,1125611
255,2022-03-22,020Y,1192628
256,2021-11-14,021Y,2400093
257,2021-11-15,021Y,2117807
258,2021-11-16,021Y,2015599
259,2021-11-17,021Y,1902841
260,2021-11-18,021Y,1862038
261,2021-11-19,021Y,1816984
262,2021-11-20,021Y,1546822
263,2021-11-21,021Y,1242022
264,2021-11-22,021Y,1566523
265,2021-11-23,021Y,1744455
266,2021-11-24,021Y,1863246
267,2021-11-25,021Y,1823739
268,2021-11-26,021Y,1800289
269,2021-11-28,021Y,1243940
270,2021-11-29,021Y,1568208
271,2021-11-30,021Y,1790912
272,2021-12-01,021Y,1771866
273,2021-12-02,021Y,1829943
274,2021-12-03,021Y,1855409
275,2021-12-04,021Y,1519028
276,2021-12-05,021Y,1244508
277,2021-12-06,021Y,1568053
278,2021-12-07,021Y,1797967
279,2021-12-08,021Y,1835702
280,2021-12-09,021Y,1855122
281,2021-12-10,021Y,1832986
282,2021-12-11,021Y,1474785
283,2021-12-12,021Y,1244210
284,2021-12-13,021Y,2368805
285,2021-12-14,021Y,2634084
286,2021-12-15,021Y,2317741
287,2021-12-16,021Y,2140333
288,2021-12-17,021Y,1948699
289,2021-12-18,021Y,1593378
290,2021-12-19,021Y,1273604
291,2021-12-20,021Y,1601653
292,2021-12-21,021Y,1824844
293,2021-12-22,021Y,1875426
294,2021-12-23,021Y,1984020
295,2021-12-24,021Y,2061636
296,2021-12-25,021Y,1604713
297,2021-12-26,021Y,1235902
298,2021-12-27,021Y,1600458
299,2021-12-28,021Y,1865324
300,2021-12-29,021Y,1956589
301,2021-12-30,021Y,1926630
302,2021-12-31,021Y,1878434
303,2022-01-01,021Y,1395893
304,2022-01-02,021Y,1013254
305,2022-01-03,021Y,1041267
306,2022-01-04,021Y,1516464
307,2022-01-05,021Y,1864657
308,2022-01-06,021Y,1950081
309,2022-01-07,021Y,1955593
310,2022-01-08,021Y,1608096
311,2022-01-09,021Y,1251464
312,2022-01-10,021Y,1681785
313,2022-01-11,021Y,2171755
314,2022-01-12,021Y,2254036
315,2022-01-13,021Y,2228791
316,2022-01-14,021Y,2154728
317,2022-01-15,021Y,1853703
318,2022-01-16,021Y,1611477
319,2022-01-17,021Y,2024582
320,2022-01-18,021Y,2214513
321,2022-01-19,021Y,2301020
322,2022-01-20,021Y,2295380
323,2022-01-21,021Y,2266053
324,2022-01-22,021Y,1926374
325,2022-01-23,021Y,1625258
326,2022-01-24,021Y,2092015
327,2022-01-25,021Y,2206978
328,2022-01-26,021Y,2140665
329,2022-01-27,021Y,2050946
330,2022-01-28,021Y,1790834
331,2022-01-29,021Y,1399025
332,2022-01-30,021Y,993422
333,2022-01-31,021Y,648945
334,2022-02-01,021Y,370469
335,2022-02-02,021Y,297604
336,2022-02-03,021Y,320546
337,2022-02-04,021Y,385439
338,2022-02-05,021Y,457242
339,2022-02-06,021Y,523614
340,2022-02-07,021Y,736868
341,2022-02-08,021Y,1185504
342,2022-02-09,021Y,1476117
343,2022-02-10,021Y,1598317
344,2022-02-11,021Y,1686007
345,2022-02-12,021Y,1507304
346,2022-02-13,021Y,1294661
347,2022-02-14,021Y,1586205
348,2022-02-15,021Y,1649331
349,2022-02-16,021Y,1611377
350,2022-02-17,021Y,1563506
351,2022-02-18,021Y,1625756
352,2022-02-19,021Y,1430944
353,2022-02-20,021Y,1164973
354,2022-02-21,021Y,1496584
355,2022-02-22,021Y,1679413
356,2022-02-23,021Y,1727822
357,2022-02-24,021Y,1728955
358,2022-02-25,021Y,1706533
359,2022-02-26,021Y,1396484
360,2022-02-27,021Y,1168715
361,2022-02-28,021Y,1474556
362,2022-03-01,021Y,1677904
