iter	Passed	Remaining
404	4821	7083
405	4825	7059
406	4830	7038
407	4836	7017
408	4846	7002
409	4855	6986
410	4864	6970
411	4875	6958
412	4884	6942
413	4898	6934
414	4905	6915
415	4916	6902
416	4925	6885
417	4932	6868
418	4939	6849
419	4946	6830
420	4954	6813
421	4961	6795
422	4968	6777
423	4975	6759
424	4984	6743
425	4991	6725
426	4997	6705
427	5004	6688
428	5009	6667
429	5013	6645
430	5017	6624
431	5022	6603
432	5026	6582
433	5031	6562
434	5039	6545
435	5047	6528
436	5056	6514
437	5061	6494
438	5065	6473
439	5072	6455
440	5076	6434
441	5084	6419
442	5088	6398
443	5094	6379
444	5099	6360
445	5103	6339
446	5107	6318
447	5113	6300
448	5118	6281
449	5122	6260
450	5127	6242
451	5133	6224
452	5137	6204
453	5142	6184
454	5147	6165
455	5151	6145
456	5156	6127
457	5161	6108
458	5165	6088
459	5170	6069
460	5175	6051
461	5179	6031
462	5183	6011
463	5188	5993
464	5193	5975
465	5197	5956
466	5202	5937
467	5207	5919
468	5211	5900
469	5215	5881
470	5224	5868
471	5233	5853
472	5239	5837
473	5247	5823
474	5255	5808
475	5260	5790
476	5268	5777
477	5272	5757
478	5276	5739
479	5283	5723
480	5287	5705
481	5291	5686
482	5297	5670
483	5301	5652
484	5305	5633
485	5310	5616
486	5315	5599
487	5319	5581
488	5324	5563
489	5328	5546
490	5335	5530
491	5339	5513
492	5344	5496
493	5348	5478
494	5352	5460
495	5357	5443
496	5362	5427
497	5366	5409
498	5370	5392
499	5376	5376
500	5380	5358
501	5384	5341
502	5388	5324
503	5394	5309
504	5398	5291
505	5403	5275
506	5407	5258
507	5413	5242
508	5417	5226
509	5427	5214
510	5435	5201
511	5443	5188
512	5448	5172
513	5454	5157
514	5459	5141
515	5463	5124
516	5471	5111
517	5475	5095
518	5481	5080
519	5486	5064
520	5490	5047
521	5495	5032
522	5500	5016
523	5505	5000
524	5510	4985
525	5515	4970
526	5521	4955
527	5526	4940
528	5533	4926
529	5537	4910
530	5542	4895
531	5549	4881
532	5553	4865
533	5558	4850
534	5563	4835
535	5568	4820
536	5572	4805
537	5578	4790
538	5582	4774
539	5587	4759
540	5592	4744
541	5596	4728
542	5600	4713
543	5608	4701
544	5615	4687
545	5624	4676
546	5633	4665
547	5640	4652
548	5644	4636
549	5650	4622
550	5655	4608
551	5658	4592
552	5664	4579
553	5670	4564
554	5674	4549
555	5678	4534
556	5683	4520
557	5688	4505
558	5692	4491
559	5697	4476
560	5704	4463
561	5708	4449
562	5717	4437
563	5723	4424
564	5813	4475
565	5819	4461
566	5831	4453
567	5858	4455
568	5865	4442
569	5882	4437
570	5895	4429
571	5899	4414
572	5904	4399
573	5910	4386
574	5915	4372
575	5922	4359
576	5928	4346
577	5935	4333
578	5941	4320
579	5945	4305
580	5955	4294
581	5960	4280
582	5965	4267
583	5970	4253
584	5974	4238
585	5978	4223
586	5982	4209
587	5987	4195
588	5990	4180
589	5994	4165
590	5999	4151
591	6003	4137
592	6009	4124
593	6014	4110
594	6021	4098
595	6031	4088
596	6038	4076
597	6050	4067
598	6057	4055
599	6062	4041
600	6066	4027
601	6070	4013
602	6074	3999
603	6079	3985
604	6083	3971
605	6087	3957
606	6092	3944
607	6097	3931
608	6101	3917
609	6105	3903
610	6110	3890
611	6114	3876
612	6119	3863
613	6123	3849
614	6127	3836
615	6131	3822
616	6136	3809
617	6142	3796
618	6147	3783
619	6151	3770
620	6156	3757
621	6160	3743
622	6166	3731
623	6170	3718
624	6175	3705
625	6179	3692
626	6184	3679
627	6189	3666
628	6194	3653
629	6200	3641
630	6204	3628
631	6221	3622
632	6241	3618
633	6313	3644
634	6321	3633
635	6347	3632
636	6352	3619
637	6365	3611
638	6373	3600
639	6407	3604
640	6416	3593
641	6426	3583
642	6433	3571
643	6444	3562
644	6454	3552
645	6461	3540
646	6470	3530
647	6510	3536
648	6519	3526
649	6526	3514
650	6533	3502
651	6540	3490
652	6547	3479
653	6552	3466
654	6558	3454
655	6564	3442
656	6569	3429
657	6575	3417
658	6582	3406
659	6600	3400
660	6610	3390
661	6616	3378
662	6621	3365
663	6627	3353
664	6636	3343
665	6641	3330
666	6645	3317
667	6652	3306
668	6658	3294
669	6665	3283
670	6674	3272
671	6681	3261
672	6688	3249
673	6692	3237
674	6699	3225
675	6704	3213
676	6708	3200
677	6715	3189
678	6720	3177
679	6727	3165
680	6732	3153
681	6736	3141
682	6743	3130
683	6749	3117
684	6755	3106
685	6761	3095
686	6777	3087
687	6794	3081
688	6801	3069
689	6812	3060
690	6824	3051
691	6830	3039
692	6836	3028
693	6842	3017
694	6847	3004
695	6854	2994
696	6860	2982
697	6865	2970
698	6871	2958
699	6876	2947
700	6883	2935
701	6889	2924
702	6893	2912
703	6901	2901
704	6909	2891
705	6920	2881
706	6924	2869
707	6930	2858
708	6937	2847
709	6941	2835
710	6948	2824
711	6954	2813
712	6958	2801
713	6967	2790
714	6974	2780
715	6994	2774
716	7001	2763
717	7044	2766
718	7049	2755
719	7055	2743
720	7063	2733
721	7070	2722
722	7085	2714
723	7091	2703
724	7102	2694
725	7109	2683
726	7126	2676
727	7136	2666
728	7141	2654
729	7148	2644
730	7158	2634
731	7165	2623
732	7173	2612
733	7183	2603
734	7188	2591
735	7195	2580
736	7200	2569
737	7206	2558
738	7213	2547
739	7218	2536
740	7224	2525
741	7231	2514
742	7241	2504
743	7247	2493
744	7253	2482
745	7260	2471
746	7265	2460
747	7273	2450
748	7279	2439
749	7285	2428
750	7293	2418
751	7299	2407
752	7304	2396
753	7311	2385
754	7316	2374
755	7326	2364
756	7332	2353
757	7339	2343
758	7352	2334
759	7363	2325
760	7375	2316
761	7384	2306
762	7393	2296
763	7400	2285
764	7407	2275
765	7412	2264
766	7418	2253
767	7424	2242
768	7431	2232
769	7436	2221
770	7443	2210
771	7455	2201
772	7461	2191
773	7467	2180
774	7474	2169
775	7480	2159
776	7487	2148
777	7493	2138
778	7499	2127
779	7505	2116
780	7514	2107
781	7528	2098
782	7541	2090
783	7552	2080
784	7560	2070
785	7568	2060
786	7573	2049
787	7580	2039
788	7587	2029
789	7594	2018
790	7601	2008
791	7606	1997
792	7613	1987
793	7618	1976
794	7624	1966
795	7782	1994
796	7788	1983
797	7796	1973
798	7803	1963
799	7811	1952
800	7817	1942
801	7824	1931
802	7835	1922
803	7843	1912
804	7851	1901
805	7861	1892
806	7881	1884
807	7891	1875
808	7898	1864
809	7914	1856
810	7924	1846
811	7930	1836
812	7935	1825
813	7942	1814
814	7948	1804
815	7954	1793
816	7964	1784
817	7981	1775
818	7993	1766
819	8001	1756
820	8010	1746
821	8018	1736
822	8024	1725
823	8030	1715
824	8037	1704
825	8043	1694
826	8049	1683
827	8054	1673
828	8061	1662
829	8067	1652
830	8073	1641
831	8085	1632
832	8091	1622
833	8100	1612
834	8108	1602
835	8114	1591
836	8121	1581
837	8128	1571
838	8133	1560
839	8140	1550
840	8149	1540
841	8157	1530
842	8163	1520
843	8173	1510
844	8180	1500
845	8190	1490
846	8196	1480
847	8205	1470
848	8210	1460
849	8217	1450
850	8224	1439
851	8229	1429
852	8236	1419
853	8242	1409
854	8248	1398
855	8254	1388
856	8259	1378
857	8265	1368
858	8272	1357
859	8279	1347
860	8287	1337
861	8294	1327
862	8301	1317
863	8307	1307
864	8315	1297
865	8320	1287
866	8328	1277
867	8334	1267
868	8342	1257
869	8349	1247
870	8356	1237
871	8371	1228
872	8377	1218
873	8383	1208
874	8393	1199
875	8399	1188
876	8406	1179
877	8412	1168
878	8420	1159
879	8429	1149
880	8436	1139
881	8442	1129
882	8448	1119
883	8454	1109
884	8461	1099
885	8468	1089
886	8478	1080
887	8485	1070
888	8491	1060
889	8496	1050
890	8504	1040
891	8509	1030
892	8516	1020
893	8522	1010
894	8528	1000
895	8534	990
896	8543	980
897	8549	971
898	8567	962
899	8572	952
900	8590	943
901	8596	934
902	8604	924
903	8610	914
904	8615	904
905	8621	894
906	8628	884
907	8633	874
908	8640	864
909	8646	855
910	8652	845
911	8659	835
912	8664	825
913	8670	815
914	8678	806
915	8684	796
916	8690	786
917	8695	776
918	8701	766
919	8709	757
920	8716	747
921	8725	738
922	8733	728
923	8740	718
924	8747	709
925	8753	699
926	8761	689
927	8768	680
928	8776	670
929	8781	661
930	8787	651
931	8794	641
932	8801	632
933	8812	622
934	8817	613
935	8825	603
936	8831	593
937	8837	584
938	8910	578
939	8920	569
940	8926	559
941	8933	550
942	8939	540
943	8947	530
944	8970	522
945	8982	512
946	8998	503
947	9006	494
948	9016	484
949	9027	475
950	9036	465
951	9059	456
952	9105	449
953	9116	439
954	9128	430
955	9150	421
956	9158	411
957	9164	401
958	9171	392
959	9176	382
960	9183	372
961	9196	363
962	9204	353
963	9211	343
964	9218	334
965	9224	324
966	9241	315
967	9248	305
968	9287	297
969	9304	287
970	9309	278
971	9324	268
972	9333	259
973	9338	249
974	9345	239
975	9351	229
976	9357	220
977	9369	210
978	9376	201
979	9382	191
980	9389	181
981	9396	172
982	9401	162
983	9408	152
984	9413	143
985	9419	133
986	9431	124
987	9437	114
988	9445	105
989	9451	95
990	9460	85
991	9467	76
992	9473	66
993	9482	57
994	9489	47
995	9499	38
996	9505	28
997	9516	19
998	9524	9
999	9530	0
